index,date,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche,annee,mois,trimestre,jour_semaine,semaine_annee,exp_age_ratio,salaire_par_exp,ecart_exp_max,categorie_age,niveau_experience,tranche_salaire,niveau_note,diplome_num,diplome_x_exp,diplome_x_note,exp_x_note,score_composite,exp_elevee_pour_age,salaire_eleve,note_elevee,diplome_eleve,est_senior,profil_atypique
0,2012-06-02,roux,25.0,9.0,26803.0,F,licence,geologie,97.08,non,0,2012,6,2,5,22,1.2857142857142858,2680.3,-2.0,Jeune,Experimente,Bas,Excellent,2,18.0,194.16,873.72,38.708,1,0,1,0,0,0
1,2011-04-21,blond,35.0,13.0,38166.0,M,licence,forage,63.86,non,0,2011,4,2,3,16,0.7647058823529411,2726.1428571428573,4.0,Junior,Expert,Eleve,Moyen,2,26.0,127.72,830.18,39.386,1,1,0,0,0,0
2,2012-09-07,blond,29.0,13.0,35207.0,M,licence,geologie,78.5,non,0,2012,9,3,4,36,1.1818181818181819,2514.785714285714,-2.0,Junior,Expert,Eleve,Bon,2,26.0,157.0,1020.5,40.85,1,1,1,0,0,0
3,2011-07-01,brun,35.0,12.0,32442.0,M,licence,geologie,45.09,non,0,2011,7,3,4,26,0.7058823529411765,2495.5384615384614,5.0,Junior,Expert,Moyen,Faible,2,24.0,90.18,541.08,36.509,1,0,0,0,0,0
4,2012-08-07,roux,35.0,6.0,28533.0,F,licence,detective,81.91,non,0,2012,8,3,1,32,0.35294117647058826,4076.1428571428573,11.0,Junior,Experimente,Bas,Bon,2,12.0,163.82,491.46,34.191,0,0,1,0,0,0
5,2014-02-12,chatain,37.0,8.0,38558.0,M,master,geologie,63.46,non,1,2014,2,1,2,7,0.42105263157894735,4284.222222222223,11.0,Confirme,Experimente,Eleve,Moyen,3,24.0,190.38,507.68,44.346000000000004,0,1,0,1,0,0
6,2013-11-11,brun,33.0,12.0,39476.0,M,master,geologie,50.2,oui,0,2013,11,4,0,46,0.8,3036.6153846153848,3.0,Junior,Expert,Eleve,Moyen,3,36.0,150.60000000000002,602.4000000000001,47.02,1,1,0,1,0,0
7,2012-03-10,roux,31.0,10.0,42392.0,M,licence,forage,62.2,oui,0,2012,3,1,5,10,0.7692307692307693,3853.818181818182,3.0,Junior,Experimente,Tres_eleve,Moyen,2,20.0,124.4,622.0,36.22,1,1,0,0,0,0
8,2014-10-17,chatain,43.0,10.0,28625.0,M,doctorat,geologie,65.17,non,1,2014,10,4,4,42,0.4,2602.2727272727275,15.0,Confirme,Experimente,Bas,Moyen,4,40.0,260.68,651.7,56.517,0,0,0,1,0,1
9,2011-06-04,chatain,28.0,11.0,32454.0,M,master,forage,66.93,non,1,2011,6,2,5,22,1.1,2704.5,-1.0,Junior,Expert,Moyen,Moyen,3,33.0,200.79000000000002,736.23,47.693,1,0,0,1,0,0
10,2014-08-06,brun,50.0,12.0,38516.0,F,licence,geologie,58.93,non,0,2014,8,3,2,32,0.375,2962.769230769231,20.0,Senior,Expert,Eleve,Moyen,2,24.0,117.86,707.16,37.893,0,1,0,0,1,0
11,2010-04-22,blond,43.0,8.0,38719.0,M,master,archeologie,80.07,oui,0,2010,4,2,3,16,0.32,4302.111111111111,17.0,Confirme,Experimente,Eleve,Bon,3,24.0,240.20999999999998,640.56,46.007,0,1,1,1,0,0
12,2011-10-23,brun,44.0,9.0,28688.0,M,doctorat,forage,83.2,oui,0,2011,10,4,6,42,0.34615384615384615,2868.8,17.0,Confirme,Experimente,Bas,Bon,4,36.0,332.8,748.8000000000001,57.32,0,0,1,1,0,1
13,2014-06-25,brun,39.0,4.0,30822.0,F,licence,geologie,66.85,non,0,2014,6,2,2,26,0.19047619047619047,6164.4,17.0,Confirme,Intermediaire,Moyen,Moyen,2,8.0,133.7,267.4,30.685,0,0,0,0,0,0
14,2011-10-15,roux,23.0,14.0,33882.0,M,licence,geologie,61.46,non,0,2011,10,4,5,41,2.8,2258.8,-9.0,Jeune,Expert,Moyen,Moyen,2,28.0,122.92,860.44,40.146,1,0,0,0,0,0
15,2010-07-12,brun,38.0,3.0,40889.0,M,master,geologie,62.85,oui,0,2010,7,3,0,28,0.15,10222.25,17.0,Confirme,Intermediaire,Tres_eleve,Moyen,3,9.0,188.55,188.55,39.285,0,1,0,1,0,0
16,2012-02-05,brun,31.0,10.0,28507.0,M,doctorat,forage,97.06,oui,0,2012,2,1,6,5,0.7692307692307693,2591.5454545454545,3.0,Junior,Experimente,Bas,Excellent,4,40.0,388.24,970.6,59.706,1,0,1,1,0,1
17,2010-07-03,blond,37.0,13.0,41512.0,M,bac,geologie,55.91,non,0,2010,7,3,5,26,0.6842105263157895,2965.1428571428573,6.0,Confirme,Expert,Tres_eleve,Moyen,1,13.0,55.91,726.8299999999999,28.591,1,1,0,0,0,0
18,2010-07-21,blond,35.0,14.0,30359.0,M,licence,geologie,94.58,non,0,2010,7,3,2,29,0.8235294117647058,2023.9333333333334,3.0,Junior,Expert,Moyen,Excellent,2,28.0,189.16,1324.12,43.458,1,0,1,0,0,0
19,2014-07-22,chatain,44.0,8.0,28956.0,M,master,geologie,74.82,non,0,2014,7,3,1,30,0.3076923076923077,3217.3333333333335,18.0,Confirme,Experimente,Bas,Bon,3,24.0,224.45999999999998,598.56,45.482,0,0,1,1,0,0
20,2010-02-12,brun,31.0,12.0,34483.0,M,master,forage,66.27,oui,0,2010,2,1,4,6,0.9230769230769231,2652.5384615384614,1.0,Junior,Expert,Moyen,Moyen,3,36.0,198.81,795.24,48.627,1,0,0,1,0,0
21,2014-05-22,chatain,30.0,10.0,39069.0,F,licence,forage,65.19,non,0,2014,5,2,3,21,0.8333333333333334,3551.7272727272725,2.0,Junior,Experimente,Eleve,Moyen,2,20.0,130.38,651.9,36.519,1,1,0,0,0,0
22,2010-01-04,brun,39.0,13.0,34632.0,M,master,geologie,81.35,non,0,2010,1,1,0,1,0.6190476190476191,2473.714285714286,8.0,Confirme,Expert,Moyen,Bon,3,39.0,244.04999999999998,1057.55,51.135,1,0,1,1,0,0
23,2012-03-20,brun,31.0,8.0,41582.0,M,licence,geologie,58.94,non,0,2012,3,1,1,12,0.6153846153846154,4620.222222222223,5.0,Junior,Experimente,Tres_eleve,Moyen,2,16.0,117.88,471.52,33.894,1,1,0,0,0,0
24,2012-01-16,blond,35.0,8.0,30782.0,F,licence,geologie,90.31,non,0,2012,1,1,0,3,0.47058823529411764,3420.222222222222,9.0,Junior,Experimente,Moyen,Excellent,2,16.0,180.62,722.48,37.031,0,0,1,0,0,0
25,2014-05-13,chatain,31.0,12.0,33238.0,F,master,detective,70.39,non,0,2014,5,2,1,20,0.9230769230769231,2556.769230769231,1.0,Junior,Expert,Moyen,Bon,3,36.0,211.17000000000002,844.6800000000001,49.039,1,0,0,1,0,0
26,2013-04-12,brun,33.0,8.0,34979.0,F,licence,detective,56.99,non,0,2013,4,2,4,15,0.5333333333333333,3886.5555555555557,7.0,Junior,Experimente,Moyen,Moyen,2,16.0,113.98,455.92,33.699,1,0,0,0,0,0
27,2013-06-18,brun,42.0,8.0,30641.0,F,licence,geologie,78.89,non,0,2013,6,2,1,25,0.3333333333333333,3404.5555555555557,16.0,Confirme,Experimente,Moyen,Bon,2,16.0,157.78,631.12,35.889,0,0,1,0,0,0
28,2010-01-02,chatain,27.0,13.0,31505.0,F,master,archeologie,88.33,non,0,2010,1,1,5,53,1.4444444444444444,2250.3571428571427,-4.0,Junior,Expert,Moyen,Excellent,3,39.0,264.99,1148.29,51.833,1,0,1,1,0,0
29,2010-07-25,chatain,19.0,9.0,31357.0,M,doctorat,detective,88.69,oui,0,2010,7,3,6,29,9.0,3135.7,-8.0,Jeune,Experimente,Moyen,Excellent,4,36.0,354.76,798.21,57.869,1,0,1,1,0,0
30,2010-03-21,brun,19.0,4.0,39031.0,M,master,geologie,57.48,oui,0,2010,3,1,6,11,4.0,7806.2,-3.0,Jeune,Intermediaire,Eleve,Moyen,3,12.0,172.44,229.92,39.748,1,1,0,1,0,0
31,2014-05-29,chatain,40.0,13.0,37495.0,M,doctorat,geologie,80.86,oui,0,2014,5,2,3,22,0.5909090909090909,2678.214285714286,9.0,Confirme,Expert,Eleve,Bon,4,52.0,323.44,1051.18,61.086,1,1,1,1,0,0
32,2012-02-05,chatain,43.0,7.0,37579.0,M,doctorat,geologie,91.15,oui,0,2012,2,1,6,5,0.28,4697.375,18.0,Confirme,Experimente,Eleve,Excellent,4,28.0,364.6,638.0500000000001,56.115,0,1,1,1,0,0
33,2012-09-03,blond,28.0,13.0,34485.0,F,licence,forage,76.94,non,0,2012,9,3,0,36,1.3,2463.214285714286,-3.0,Junior,Expert,Moyen,Bon,2,26.0,153.88,1000.22,40.694,1,0,1,0,0,0
34,2010-06-21,blond,38.0,6.0,41909.0,M,licence,geologie,87.76,oui,1,2010,6,2,0,25,0.3,5987.0,14.0,Confirme,Experimente,Tres_eleve,Excellent,2,12.0,175.52,526.5600000000001,34.775999999999996,0,1,1,0,0,0
35,2011-11-04,chatain,43.0,8.0,46245.0,M,licence,geologie,49.39,non,0,2011,11,4,4,44,0.32,5138.333333333333,17.0,Confirme,Experimente,Tres_eleve,Faible,2,16.0,98.78,395.12,32.939,0,1,0,0,0,0
36,2010-08-01,brun,49.0,8.0,38020.0,M,master,forage,60.63,oui,0,2010,8,3,6,30,0.25806451612903225,4224.444444444444,23.0,Senior,Experimente,Eleve,Moyen,3,24.0,181.89000000000001,485.04,44.063,0,1,0,1,0,0
37,2013-01-10,brun,26.0,11.0,31759.0,F,master,forage,95.42,non,1,2013,1,1,3,2,1.375,2646.5833333333335,-3.0,Junior,Expert,Moyen,Excellent,3,33.0,286.26,1049.6200000000001,50.542,1,0,1,1,0,0
38,2013-06-14,blond,59.0,7.0,40397.0,M,licence,forage,60.42,oui,0,2013,6,2,4,24,0.17073170731707318,5049.625,34.0,Senior,Experimente,Tres_eleve,Moyen,2,14.0,120.84,422.94,33.042,0,1,0,0,0,0
39,2014-11-08,chatain,37.0,6.0,27002.0,M,master,forage,55.83,non,1,2014,11,4,5,45,0.3157894736842105,3857.4285714285716,13.0,Confirme,Experimente,Bas,Moyen,3,18.0,167.49,334.98,41.583,0,0,0,1,0,0
