Feature,Importance,Std,Rank
salaire_par_exp,0.7099986866368748,0.015325208966002788,1
exp_x_note,0.709714822966684,0.011047414889417836,2
diplome_x_note,0.6439918537676752,0.012969518822331045,3
note,0.29576754358998586,0.015817304034851192,4
diplome_x_exp,0.2394802723486873,0.015798065350212363,5
ecart_exp_max,0.22794564457848993,0.016119681472891143,6
age,0.22059132360402983,0.020032891041741344,7
score_composite,0.19774193911478247,0.015401252225882126,8
exp,0.024988986061239782,0.00416055936503626,9
annee,0.004793412985840006,0.0026652725514685273,10
exp_age_ratio,0.0037772501883699405,0.002102200178258056,11
trimestre,0.0016706077997706737,0.0016806568630668018,12
spec_detective,0.0002826060626764493,0.0005652121253528986,13
niveau_note_encoded,0.0002826060626764493,0.0005652121253528986,14
categorie_age_encoded,0.00021560937529043755,0.00043121875058087504,15
salaire,0.00014130303133822464,0.0004239090940146739,16
tranche_salaire_encoded,0.0,0.0,17
spec_forage,0.0,0.0,18
cheveux_roux,0.0,0.0,19
cheveux_chatain,0.0,0.0,20
dispo_encoded,0.0,0.0,21
sexe_encoded,0.0,0.0,22
diplome_eleve,0.0,0.0,23
niveau_experience_encoded,0.0,0.0,24
diplome_encoded,0.0,0.0,25
profil_atypique,0.0,0.0,26
est_senior,0.0,0.0,27
note_elevee,0.0,0.0,28
salaire_eleve,0.0,0.0,29
exp_elevee_pour_age,0.0,0.0,30
spec_geologie,-0.0005638061250410331,0.0006905186601031704,31
cheveux_brun,-0.0007047576563012914,0.0007047576563012914,32
