Dataset,Model,Set,F1_Score,Recall,Precision,Accuracy,ROC_AUC,MCC,Training_Time
dropna,KNN,Test,0.8671,0.8005,0.9458,0.9719,0.9287,0.8552,0.008245229721069336
dropna,Random_Forest,Test,0.7567,0.8417,0.6873,0.938,0.961,0.7264,1.9268968105316162
dropna,XGBoost,Test,0.63,0.8922,0.4869,0.8799,0.9508,0.6026,0.5418994426727295
knn,XGBoost,Test,0.5048,0.6952,0.3962,0.8439,0.8542,0.4437,0.6248083114624023
median_mode,XGBoost,Test,0.5032,0.69,0.396,0.844,0.8535,0.4413,0.5534141063690186
knn,Random_Forest,Test,0.5016,0.5066,0.4968,0.8848,0.8426,0.4365,1.6607186794281006
median_mode,Random_Forest,Test,0.4989,0.5022,0.4957,0.8845,0.8431,0.4336,1.8509716987609863
dropna,Decision_Tree,Test,0.4782,0.7408,0.353,0.8147,0.8737,0.4212,0.3127424716949463
knn,Decision_Tree,Test,0.4327,0.6798,0.3173,0.796,0.8065,0.3632,0.3145608901977539
median_mode,Decision_Tree,Test,0.4302,0.6725,0.3162,0.7959,0.8067,0.3594,0.3052363395690918
median_mode,Logistic_Regression,Test,0.2538,0.6354,0.1586,0.5721,0.6571,0.1274,3.0782618522644043
dropna,Logistic_Regression,Test,0.2514,0.6216,0.1576,0.5758,0.6517,0.1225,3.050036668777466
knn,Logistic_Regression,Test,0.2509,0.6272,0.1568,0.5714,0.6554,0.1223,2.677076816558838
dropna,SVM,Test,0.2195,0.8578,0.1259,0.3012,0.5402,0.0669,197.1808168888092
knn,SVM,Test,0.2191,0.8509,0.1257,0.3059,0.533,0.0658,241.76204252243042
median_mode,SVM,Test,0.2182,0.8472,0.1252,0.3046,0.5318,0.0622,209.9206097126007
knn,KNN,Test,0.0783,0.0482,0.2075,0.87,0.5507,0.0484,0.009451627731323242
median_mode,KNN,Test,0.0743,0.0459,0.1963,0.8692,0.5453,0.0426,0.010461091995239258
knn,KNN,Train,1.0,1.0,1.0,1.0,1.0,1.0,0.009451627731323242
median_mode,KNN,Train,0.9865,0.9776,0.9956,0.9969,0.9931,0.9848,0.010461091995239258
dropna,KNN,Train,0.879,0.8107,0.9599,0.9744,0.928,0.8687,0.008245229721069336
knn,Random_Forest,Train,0.7849,0.8879,0.7034,0.9444,0.9804,0.7602,1.6607186794281006
median_mode,Random_Forest,Train,0.7789,0.8795,0.6989,0.9427,0.9775,0.753,1.8509716987609863
dropna,Random_Forest,Train,0.7285,0.8021,0.6673,0.9315,0.9544,0.6935,1.9268968105316162
knn,XGBoost,Train,0.6564,0.9252,0.5086,0.8893,0.9693,0.635,0.6248083114624023
median_mode,XGBoost,Train,0.6523,0.9182,0.5059,0.8878,0.9666,0.6295,0.5534141063690186
dropna,XGBoost,Train,0.6288,0.8772,0.4901,0.8814,0.9467,0.5988,0.5418994426727295
knn,Decision_Tree,Train,0.4876,0.7532,0.3605,0.8192,0.8827,0.4335,0.3145608901977539
median_mode,Decision_Tree,Train,0.4862,0.7503,0.3596,0.8182,0.8797,0.4312,0.3052363395690918
dropna,Decision_Tree,Train,0.4768,0.7355,0.3527,0.815,0.8657,0.4189,0.3127424716949463
median_mode,Logistic_Regression,Train,0.2587,0.6472,0.1617,0.5749,0.6574,0.136,3.0782618522644043
dropna,Logistic_Regression,Train,0.2582,0.6443,0.1615,0.576,0.6588,0.1352,3.050036668777466
knn,Logistic_Regression,Train,0.2581,0.6454,0.1613,0.5762,0.6585,0.1358,2.677076816558838
dropna,SVM,Train,0.2152,0.8359,0.1235,0.3016,0.5356,0.0522,197.1808168888092
median_mode,SVM,Train,0.2147,0.8353,0.1232,0.2995,0.5367,0.0501,209.9206097126007
knn,SVM,Train,0.2138,0.834,0.1226,0.2991,0.5354,0.049,241.76204252243042
